ID,Contractor,Size,Utility,Zip
20737,Affordable Solar Installation,6.1,PNM,87110
20738,Affordable Solar Installation,7.5,PNM,87109
20739,Affordable Solar Installation,13.7,PNM,87111
20740,Affordable Solar Installation,4.1,PNM,87111
20741,Affordable Solar Installation,9.3,PNM,87106
20749,SunState Solar Inc./Energized Electric,5.0,PNM,87120
20750,Ocotillo Solar Electric,12.5,PNM,87122
20751,Ocotillo Solar Electric,15.2,PNM,87122
20752,Organ Mountain Solar & Electric LLC,12.5,EPE,88011
20753,Organ Mountain Solar & Electric,4.6,PNM,88061
20754,Affordable Solar Installation,6.4,PNM,87144
20755,Affordable Solar Installation,5.1,PNM,87120
20756,Affordable Solar Installation,8.1,PNM,87122
20757,Positive Energy Solar,8.1,PNM,87111
20758,Positive Energy Solar,4.4,PNM,87108
20759,Positive Energy Solar,10.5,PNM,87122
20760,Positive Energy Solar,3.9,PNM,87507
20761,Positive Energy Solar,2.6,PNM,87105
20762,Positive Energy Solar,6.0,PNM,87110
20763,Positive Energy Solar,4.9,PNM,87112
20774,Ocotillo Solar Electric,9.8,PNM,87114
20775,SunState Solar Inc./Energized Electric,4.3,PNM,87120
20776,Erus Energy,9.3,EPE,88011
20778,NM Solar Group,7.2,PNM,87144
20781,Energy Concepts Corporation,6.5,PNM,87701
20782,Energy Concepts Solar,3.2,PNM,87701
20783,Two Skies Electric LLC,6.5,PNM,87048
20786,Energy Concepts,7.4,MSMEC,87742
20787,Erus Energy,8.6,EPE,88007
20790,Positive Energy Solar,7.5,JMEC,87522
20793,Positive Energy Solar,4.9,PNM,87505
20794,Positive Energy Solar,10.5,PNM,87501
20795,Positive Energy Solar,10.5,PNM,87505
20796,Erus Energy,6.7,EPE,88007
20813,PPC Solar,6.7,PNM,87110
20815,SunState Solar Inc./Energized,3.3,PNM,87120
20816,NM Solar Group,3.7,PNM,87144
20818,Select Solar LLC,4.5,LADPU,87544
20819,Empyrean Energy Solutions LLC,5.9,PNM,88007
20824,Positive Energy Solar,11.6,PNM,87505
20825,Positive Energy Solar,6.0,PNM,87501
20826,Positive Energy Solar,4.2,PNM,87506
20827,Positive Energy Solar,5.3,PNM,87506
20828,Positive Energy Solar,4.9,PNM,87506
20829,Positive Energy Solar,11.6,PNM,87505
20830,Positive Energy Solar,9.6,PNM,87505
20831,Positive Energy Solar,6.3,PNM,87144
20832,Affordable Solar Installation,8.4,PNM,87105
20833,Affordable Solar Installation,8.1,PNM,87108
20834,Affordable Solar Installation,2.9,PNM,87107
