TaxCreditApplicationID,ReviewDate
21135,1/5/2021
21136,1/6/2021
21138,1/6/2021
21140,1/6/2021
21146,1/6/2021
21148,1/6/2021
21149,1/6/2021
21150,1/6/2021
21156,1/6/2021
21159,1/8/2021
21162,1/8/2021
21163,1/8/2021
21164,1/8/2021
21165,1/8/2021
21172,1/8/2021
21173,1/8/2021
21174,1/8/2021
21175,1/8/2021
21176,1/8/2021
21177,1/8/2021
21178,1/8/2021
21179,1/8/2021
21180,1/8/2021
21181,1/8/2021
21182,1/8/2021
21183,1/8/2021
21184,1/8/2021
21185,1/8/2021
21186,1/8/2021
21187,1/8/2021
21188,1/8/2021
21189,1/8/2021
21190,1/8/2021
21191,1/8/2021
21192,1/8/2021
21193,1/8/2021
21194,1/8/2021
21195,1/8/2021
21196,1/8/2021
21197,1/8/2021
21198,1/8/2021
21199,1/13/2021
21200,1/13/2021
21201,1/13/2021
21202,1/13/2021
21203,1/13/2021
21204,1/13/2021
21205,2/10/2021
21206,1/13/2021
21207,1/13/2021
21208,1/13/2021
21209,1/13/2021
21210,1/13/2021
21211,1/13/2021
21212,1/13/2021
21213,1/13/2021
21214,1/13/2021
21215,1/13/2021
21216,1/13/2021
21241,1/15/2021
21242,1/15/2021
21243,1/15/2021
21245,1/15/2021
21246,1/15/2021
21247,1/15/2021
21248,1/15/2021
21249,1/15/2021
21250,1/15/2021
21251,1/15/2021
21252,1/15/2021
21253,1/15/2021
21254,1/15/2021
21255,1/15/2021
21256,1/15/2021
21257,1/15/2021
21258,1/15/2021
21259,1/19/2021
21260,1/19/2021
21261,1/19/2021
21262,1/19/2021
21263,1/19/2021
21264,1/19/2021
21265,1/19/2021
21266,1/19/2021
21267,1/19/2021
21268,1/19/2021
21269,1/19/2021
21270,1/19/2021
21271,1/19/2021
21272,1/19/2021
21273,1/19/2021
21274,1/21/2021
21275,1/19/2021
21276,1/21/2021
21277,1/19/2021
21278,1/19/2021
21280,1/29/2021
21281,1/19/2021
21282,1/21/2021
21283,1/19/2021
21284,1/19/2021
21285,1/19/2021
21286,1/19/2021
21287,1/19/2021
21288,1/19/2021
21289,1/19/2021
21290,1/19/2021
21291,1/19/2021
21292,1/19/2021
21293,1/19/2021
21294,1/19/2021
21295,1/29/2021
21296,1/19/2021
21297,1/19/2021
21298,1/19/2021
21299,1/19/2021
21300,1/19/2021
21301,1/19/2021
21302,1/21/2021
21303,1/21/2021
21304,1/25/2021
21305,1/21/2021
21306,1/21/2021
21307,1/21/2021
21308,1/21/2021
21309,1/21/2021
21310,1/21/2021
21311,1/21/2021
21312,1/21/2021
21313,1/21/2021
21314,1/28/2021
21315,1/21/2021
21316,1/21/2021
21317,1/21/2021
21318,1/21/2021
21320,1/21/2021
21321,1/21/2021
21322,1/21/2021
21323,1/21/2021
21324,1/21/2021
21325,2/17/2021
21326,1/21/2021
21327,1/21/2021
21329,1/25/2021
21330,1/25/2021
21331,1/25/2021
21332,1/25/2021
21333,1/25/2021
21334,1/28/2021
21335,1/25/2021
21336,1/25/2021
21337,1/25/2021
21338,1/25/2021
21339,1/25/2021
21340,1/25/2021
21341,1/25/2021
21342,1/25/2021
21343,1/25/2021
21344,1/25/2021
21345,1/25/2021
21346,1/25/2021
21347,1/25/2021
21348,1/25/2021
21349,1/25/2021
21350,1/25/2021
21351,1/25/2021
21352,1/25/2021
21353,1/25/2021
21354,1/25/2021
21355,1/25/2021
21356,1/25/2021
21357,1/25/2021
21358,1/25/2021
21359,1/25/2021
21360,1/25/2021
21361,1/25/2021
21362,1/25/2021
21363,1/25/2021
21364,1/25/2021
21365,1/25/2021
21366,1/25/2021
21367,1/25/2021
21368,1/25/2021
21369,1/25/2021
21370,1/25/2021
21371,1/25/2021
21372,1/25/2021
21373,1/25/2021
21374,1/25/2021
21375,1/25/2021
21376,1/25/2021
21377,1/25/2021
21378,1/25/2021
21379,1/25/2021
21380,1/25/2021
21381,1/25/2021
21382,1/25/2021
21383,1/25/2021
21384,1/25/2021
21385,1/25/2021
21386,1/25/2021
21387,1/25/2021
21388,1/25/2021
21389,1/28/2021
21390,1/25/2021
21391,1/25/2021
21392,1/25/2021
